iter	MAE	RMSE
0	0.6460114567	0.7952731033
1	0.6343652077	0.7813104778
2	0.6235545058	0.7685034762
3	0.6133494869	0.7565741417
4	0.6040713798	0.745569355
5	0.5955854251	0.7353671711
6	0.5872801693	0.7258513559
7	0.5800310918	0.7173085744
8	0.57296916	0.7091835404
9	0.5658258075	0.7011574956
10	0.5600664593	0.694423831
11	0.554312577	0.6879374305
12	0.5490742166	0.6819737636
13	0.5441950393	0.6764557856
14	0.5388873889	0.6704649302
15	0.534240536	0.6651272299
16	0.5296276299	0.6600138216
17	0.5255820415	0.6554281849
18	0.52168106	0.6510723314
19	0.5179532996	0.6468602494
20	0.51490191	0.6432736855
21	0.5114885533	0.6394702881
22	0.5082281018	0.635896017
23	0.5053168304	0.6326466043
24	0.5027033899	0.6297023039
25	0.5000959064	0.6268264618
26	0.4975928655	0.6241549288
27	0.4954446209	0.6217383134
28	0.4934082575	0.6194884926
29	0.4911589377	0.6170534171
30	0.4888729832	0.6146309427
31	0.4870709904	0.6126731387
32	0.4854076619	0.6108198023
33	0.4833943659	0.6087095412
34	0.4817573591	0.606991491
35	0.4802498368	0.60535281
36	0.4787102805	0.6037561419
37	0.4771657498	0.6021220025
38	0.4759081515	0.6007520443
39	0.4742809302	0.5991064282
40	0.4730425115	0.5977551355
41	0.47184525	0.5964988846
42	0.4706722719	0.5952427818
43	0.4693198753	0.5938329993
44	0.4682830041	0.5927478084
45	0.4673603406	0.5917698052
46	0.4663797927	0.5907521291
47	0.4653419273	0.5896732309
48	0.4644916648	0.5887495624
49	0.4635091667	0.5877072743
50	0.4626289933	0.5867887597
51	0.461551288	0.5857181374
52	0.4608170937	0.584957316
53	0.4598796243	0.5840405282
54	0.4591232258	0.5832432932
55	0.4583281582	0.5824143985
56	0.4576761605	0.581707928
57	0.4570400264	0.5809795647
58	0.4562368809	0.5801009501
59	0.4554698944	0.5793424905
60	0.4546343284	0.5784075649
61	0.4539737012	0.5777439959
62	0.4533902336	0.5771629196
63	0.4528518443	0.5765908305
64	0.4523071732	0.5760122079
65	0.4517192442	0.5754256657
66	0.4512182338	0.5749029154
67	0.4507566525	0.5743988861
68	0.4503229633	0.5739193302
69	0.4498419846	0.5734322075
70	0.4494301005	0.5729905619
71	0.4489226792	0.5724385092
72	0.4483423744	0.5718564043
73	0.4478951623	0.5713874998
74	0.4475268476	0.5709913907
75	0.4469237525	0.5703949196
76	0.4465805913	0.5700029348
77	0.4461760299	0.5695967118
78	0.445784067	0.5691879791
79	0.445359766	0.5687676578
80	0.4450887824	0.5684474809
81	0.4445024913	0.5678678085
82	0.4440803036	0.5673984951
83	0.4437411655	0.5670122039
84	0.4433230764	0.5666232773
85	0.4429788778	0.5662803922
86	0.4426230705	0.565915397
87	0.4423333384	0.5656014264
88	0.4420719932	0.5653186099
89	0.4418008907	0.5650566415
90	0.4413861513	0.5646181233
91	0.4411452859	0.5643462313
92	0.4408610265	0.5640623724
93	0.4406091519	0.5637936179
94	0.4403457846	0.5635216666
95	0.4400809963	0.5632611861
96	0.4398020071	0.5630127594
97	0.4396302321	0.5628125482
98	0.4394274881	0.5626067575
99	0.4392113785	0.5623582697
100	0.4389925685	0.5621439624
101	0.4387750707	0.561883348
102	0.4385733145	0.5616665717
103	0.4383218482	0.5614213168
104	0.4381473074	0.5612450116
105	0.437903278	0.5609887548
106	0.4376458671	0.5607423631
107	0.4374251522	0.5605006046
108	0.4372673237	0.5603450223
109	0.4371274958	0.5601782827
110	0.4369087549	0.5599105898
111	0.4367360425	0.5597214342
112	0.4364871256	0.5594725754
113	0.4363318947	0.5592998644
114	0.4361822467	0.5591268245
115	0.4360504209	0.5589921769
116	0.4359151116	0.5588524352
117	0.4357218237	0.5586581513
118	0.4355585487	0.5585009828
119	0.4353665918	0.5583053077
120	0.4351520887	0.5580652979
121	0.4350164203	0.5579188275
122	0.4349000335	0.5577714231
123	0.4347672768	0.5576303896
124	0.4346648832	0.5575148721
125	0.4345435466	0.5573775301
126	0.4343756146	0.5571860072
127	0.4342689903	0.5570562465
128	0.4340488905	0.5568438475
129	0.4339188655	0.5566943584
130	0.4337940185	0.5565453852
131	0.4336576854	0.5564022174
132	0.4335186005	0.5562451009
133	0.4334125617	0.5561297129
134	0.4333121984	0.5559896316
135	0.4331757662	0.55584178
136	0.4330505896	0.5557125147
137	0.4328888861	0.5555674603
138	0.4328026722	0.5554534653
139	0.4327168261	0.5553646788
140	0.4326085763	0.5552455052
141	0.4325260818	0.5551584097
142	0.4323940825	0.5550250837
143	0.4322608713	0.5548841936
144	0.4321663765	0.5547828046
145	0.4320853572	0.5546950826
146	0.4319588067	0.5545592177
147	0.431830784	0.5543733926
148	0.4317206734	0.5542524887
149	0.4315663301	0.5541126593
150	0.4314748974	0.5540047254
151	0.4313984518	0.55392134
152	0.4313028732	0.5538003506
153	0.4312024875	0.5536939439
154	0.4310424776	0.5535378827
155	0.4309396701	0.5534445956
156	0.4308061864	0.5532703646
157	0.4306785	0.553141267
158	0.4305605085	0.5529961938
159	0.4304774621	0.5528889993
160	0.4303772263	0.5527930241
161	0.4303152167	0.5527217928
162	0.4302431052	0.5526442359
163	0.4301143932	0.5525084604
164	0.4300074349	0.5524090787
165	0.4299010979	0.5523024787
166	0.4298377179	0.5522214586
167	0.429761319	0.5521385509
168	0.4296639458	0.5520215724
169	0.4295308785	0.5518891768
170	0.4294862977	0.5518267637
171	0.4293957901	0.5517318022
172	0.4292799559	0.5515805612
173	0.4292279035	0.5515010181
174	0.4290797603	0.5513711595
175	0.4290167689	0.5512972069
176	0.4289336733	0.5511882157
177	0.4288255578	0.551093451
178	0.4287863127	0.5510379007
179	0.4287113338	0.5509474437
180	0.4286471592	0.5508810942
181	0.4285649616	0.5507673084
182	0.4284680704	0.5506552854
183	0.4284024885	0.5505884684
184	0.4283051143	0.5504834132
185	0.4282240277	0.5504021543
186	0.4281941704	0.5503551045
187	0.4280709843	0.5502388243
188	0.4280054111	0.5501509567
189	0.4279758841	0.5501150488
190	0.4278970859	0.5500217794
191	0.4278636807	0.5499676048
192	0.4277378977	0.5498342626
193	0.4276659898	0.5497546792
194	0.4276118302	0.549695071
195	0.4275702335	0.5496409127
196	0.4275363414	0.5496067149
197	0.4274730587	0.5495485406
198	0.4273753606	0.5494441186
199	0.427265376	0.5493275368
