iter	Passed	Remaining
0	407	81093
1	751	74380
2	1027	67477
3	1343	65833
4	1633	63689
5	1931	62466
6	2220	61219
7	2510	60240
8	2809	59628
9	3054	58032
10	3299	56687
11	3552	55656
12	3810	54807
13	4091	54355
14	4412	54416
15	4684	53872
16	4978	53594
17	5303	53628
18	5612	53463
19	5966	53698
20	6271	53453
21	6553	53026
22	6906	53152
23	7193	52751
24	7541	52788
25	7880	52740
26	8188	52467
27	8520	52341
28	8854	52210
29	9181	52030
30	9542	52023
31	9903	51995
32	10179	51513
33	10529	51406
34	10824	51028
35	11148	50786
36	11467	50519
37	11812	50357
38	12168	50233
39	12502	50008
40	12865	49891
41	13216	49720
42	13523	49374
43	13850	49107
44	14150	48740
45	14483	48489
46	14759	48045
47	15081	47758
48	15400	47458
49	15728	47186
50	16001	46749
51	16320	46450
52	16577	45978
53	16900	45694
54	17304	45621
55	17621	45311
56	17919	44955
57	18204	44569
58	18586	44419
59	18948	44212
60	19287	43950
61	19555	43527
62	19811	43081
63	20123	42763
64	20433	42439
65	20747	42123
66	21022	41731
67	21314	41375
68	21646	41096
69	21902	40676
70	22203	40341
71	22503	40006
72	22819	39700
73	23119	39365
74	23370	38951
75	23677	38632
76	23983	38311
77	24252	37933
78	24558	37615
79	24870	37305
80	25188	37005
81	25516	36718
82	25807	36379
83	26111	36059
84	26399	35716
85	26678	35364
86	26979	35042
87	27274	34713
88	27593	34414
89	27838	34024
90	28154	33722
91	28485	33440
92	28746	33073
93	29054	32763
94	29358	32449
95	29653	32124
96	29935	31786
97	30242	31476
98	30487	31103
99	30773	30773
100	31010	30396
101	31317	30089
102	31589	29749
103	31858	29407
104	32139	29079
105	32421	28750
106	32703	28424
107	32983	28096
108	33228	27741
109	33513	27419
110	33781	27085
111	34074	26772
112	34359	26453
113	34637	26129
114	34910	25803
115	35173	25470
116	35451	25149
117	35697	24806
118	35944	24466
119	36225	24150
120	36456	23801
121	36707	23468
122	37019	23174
123	37290	22855
124	37573	22543
125	37866	22239
126	38148	21927
127	38430	21617
128	38666	21281
129	38956	20976
130	39240	20668
131	39532	20365
132	39808	20053
133	40106	19753
134	40372	19438
135	40662	19135
136	40960	18835
137	41205	18512
138	41487	18206
139	41768	17900
140	42040	17591
141	42342	17294
142	42613	16985
143	42894	16681
144	43195	16384
145	43467	16077
146	43717	15762
147	44006	15461
148	44285	15158
149	44564	14854
150	44843	14551
151	45154	14259
152	45412	13950
153	45720	13656
154	45972	13346
155	46261	13048
156	46525	12742
157	46774	12433
158	47055	12133
159	47344	11836
160	47636	11539
161	47944	11246
162	48233	10948
163	48539	10655
164	48808	10353
165	49114	10059
166	49412	9764
167	49690	9464
168	49985	9168
169	50279	8872
170	50565	8575
171	50873	8281
172	51159	7984
173	51466	7690
174	51769	7395
175	52074	7101
176	52366	6804
177	52654	6507
178	52954	6212
179	53235	5915
180	53493	5615
181	53799	5320
182	54077	5023
183	54369	4727
184	54625	4429
185	54896	4131
186	55227	3839
187	55539	3545
188	55825	3249
189	56088	2952
190	56364	2655
191	56663	2360
192	56936	2065
193	57229	1769
194	57538	1475
195	57813	1179
196	58058	884
197	58365	589
198	58660	294
199	58952	0
